Name,Type,RAB2000,DEB2000,Source,Const,l_size,size,mag,n_mag,Desc
 1912, OC,05 28.7,+35 50,s,Aur, , 21.0, 6.4, ,"Cl, B, vL, vRi, iF, st L & S; = M38"
 2005, OC,05 30.0,-69 44,r,Dor, ,     ,    , ,"no description, in LMC"
 2002, OC,05 30.2,-66 52,r,Dor, ,     ,    , ,"vB, S, R, **  + neb in vLCl"
 1997, OC,05 30.5,-63 12,r,Dor, ,     ,    , ,"eF, cS, R"
 2004, OC,05 30.6,-67 17,s,Dor, ,     , 9.8, ,"glob. cl. , B, pL, pRi, C, st 12"
 2010, OC,05 30.6,-70 49,r,Men, ,     ,    , ,"F, cL, R, vglbM"
 2003, OC,05 30.7,-66 27,r,Dor, ,     ,    , ,"B, S, stellar, r"
 2009, OC,05 30.8,-69 09,r,Dor, ,     ,    , ,"pF, pS, R, glbM, in Cl"
 2006, OC,05 31.2,-66 57,r,Dor, ,     ,    , ,"Cl, eL, vRi, vBvSNM"
 2016, OC,05 31.5,-69 56,r,Men, ,     ,    , ,"F, vL, iR, gbM"
 2025, OC,05 33.1,-71 44,r,Men, ,     ,    , ,"vB, vS, lE, gmbM, r"
I2140, OC,05 33.2,-75 22,x,Men, ,     ,    , ,"eF, vS; eS Cl?"
 2028, OC,05 33.7,-69 56,r,Men, ,     ,    , ,vF
 2031, OC,05 33.7,-70 59,r,Men, ,     ,    , ,"glob. cl. , B, pL, R, gbM, rr"
 2036, OC,05 34.4,-70 04,r,Men, ,     ,    , ,"vF, pL, R, gbM"
 2038, OC,05 34.5,-70 33,r,Men, ,     ,    , ,"pB, S, R, gbM, *9 np 5'"
 1981, OC,05 35.2,-04 26,s,Ori, , 25.0, 4.6, ,"Cl, vB, lRi, st L, sc"
 2046, OC,05 35.3,-70 14,r,Men, ,     ,    , ,"vF, R, gbM, 1st of 7"
 2047, OC,05 35.6,-70 11,r,Men, ,     ,    , ,"F, S, lE, 2nd of 7"
 1960, OC,05 36.1,+34 08,s,Aur, , 12.0, 6.0, ,"Cl, B, vL, vRi, lC, st 9...11 sc; = M36"
 2051, OC,05 36.2,-71 00,r,Men, ,     ,    , ,"pB, S, R, gbM"
 2041, OC,05 36.4,-66 58,r,Dor, ,     ,10.0,p,"B, S, R, vglbM"
 2056, OC,05 36.5,-70 40,r,Men, ,     ,    , ,"pB, R, bM, p of 2, *9 bet"
 2058, OC,05 36.6,-70 08,r,Men, ,     ,12.0,p,"vB, pL, R, gbM, 4th of 7"
 2057, OC,05 36.7,-70 15,r,Men, ,     ,    , ,"pF, S, R, gbM, 3rd of 7"
 2059, OC,05 36.7,-70 06,r,Men, ,     ,    , ,"vF, 5th of 7"
 2053, OC,05 37.3,-67 24,r,Dor, ,     ,    , ,"F, pL, lE, gbM"
 2065, OC,05 37.3,-70 13,r,Men, ,     ,11.0,p,"B, R, 6th of 7"
 2066, OC,05 37.5,-70 10,r,Men, ,     ,    , ,"vF, vS, E, 7th of 7"
I2146, OC,05 37.8,-74 46,x,Men, ,     ,    , ,"Cl, vF, bet 2 st"
 2072, OC,05 38.1,-70 14,r,Men, ,     ,    , ,"vF, S"
 2062, OC,05 40.0,-66 53,r,Dor, ,     ,    , ,"vF, pS, E, glbM, 2 st 10 s"
 2088, OC,05 40.8,-69 28,r,Dor, ,     ,    , ,"vF, S, R"
 2091, OC,05 40.9,-69 26,r,Dor, ,     ,    , ,"vF, S, mE, glbM; D?"
 2092, OC,05 41.5,-69 13,r,Dor, ,     ,    , ,"vF, pL, R, rr"
 2100, OC,05 42.0,-69 14,s,Dor, ,  2.0, 9.6, ,"glob. cl. , B, pL, irr R, rr"
 2094, OC,05 42.1,-68 21,r,Dor, ,     ,    , ,"vF, S, R"
 2096, OC,05 42.2,-68 28,r,Dor, ,     ,    , ,"neb, no descrip, in LMC"
 2102, OC,05 42.2,-69 29,r,Dor, ,     ,    , ,"neb, no descrip, in LMC"
 2095, OC,05 42.7,-67 19,r,Dor, ,     ,    , ,"Cl, F, cS, irr"
 2107, OC,05 43.2,-70 37,r,Men, ,     ,11.0,p,"pB, pS, R, gbM"
 2097, OC,05 44.1,-62 47,r,Dor, ,     ,    , ,"vF, pS, iR, pslbM *16"
 2105, OC,05 44.2,-66 25,r,Dor, ,     ,    , ,"F, pS, R, gbM"
 2111, OC,05 44.7,-70 57,r,Men, ,     ,    , ,"vF, S, R, gbM"
 2114, OC,05 45.8,-68 03,r,Dor, ,     ,    , ,"eF, pL, iR"
 2116, OC,05 46.9,-68 32,r,Dor, ,     ,    , ,"F, S, R, *11 p"
 2118, OC,05 47.2,-69 09,r,Dor, ,     ,    , ,"glob. cl. , vB, vS, vsmbM, rr"
 2117, OC,05 47.3,-67 28,r,Dor, ,     ,    , ,"F, pL, iR, vlbM, rrr"
 2134, OC,05 50.1,-71 07,r,Men, ,     ,11.0,p,"glob. cl. , B, pL, R, gmbM, r"
 2125, OC,05 50.7,-69 29,r,Dor, ,     ,    , ,"vF, pS, R, gbM"
 2127, OC,05 51.1,-69 22,r,Dor, ,     ,    , ,"pB, vS, R, gmbM"
 2123, OC,05 51.7,-65 19,r,Dor, ,     ,    , ,"pB, vS, R, gbM"
 2130, OC,05 52.1,-67 20,r,Dor, ,     ,    , ,"F, pS, R, glbM"
 2099, OC,05 52.4,+32 33,s,Aur, , 24.0, 5.6, ,"Cl, Ri, pCM, st L & S; = M37"
 2136, OC,05 52.8,-69 30,r,Dor, ,     ,10.0,p,"glob. cl. , pB, R, gmbM, rr, st 14...16"
 2135, OC,05 53.1,-67 26,r,Dor, ,     ,    , ,"F, pS, R, r, am st"
 2137, OC,05 53.2,-69 29,r,Dor, ,     ,    , ,"vF, S, R, f of 2"
 2112, OC,05 53.9,+00 24,s,Ori, , 11.0, 9.0,p,"Cl, pL, lRi, pC, st S"
 2140, OC,05 54.0,-68 36,r,Dor, ,     ,    , ,"pF, pS, iR, bM"
 2138, OC,05 54.5,-65 50,r,Dor, ,     ,    , ,"eF, S, R"
 2145, OC,05 54.5,-70 55,r,Men, ,     ,    , ,"F, lE, r"
 2151, OC,05 56.3,-69 01,r,Dor, ,     ,    , ,"F, pS, R, bM"
 2157, OC,05 57.3,-69 11,r,Dor, ,     ,10.0,p,"glob. cl. , vB, S, R, vgvmbM, rr"
 2153, OC,05 57.5,-66 24,r,Dor, ,     ,    , ,"eeF, lE, *16 att"
 2156, OC,05 57.6,-68 27,r,Dor, ,     ,    , ,"pB, S, R, gbM, 1st of 3"
 2159, OC,05 57.9,-68 38,r,Dor, ,     ,    , ,"pF, S, R, gbM, *15 att nf"
 2160, OC,05 58.0,-68 17,r,Dor, ,     ,    , ,"pF, pS, R, gbM"
 2164, OC,05 58.7,-68 31,r,Dor, ,     ,10.0,p,"glob. cl. , vB, R, mCM, rr"
 2166, OC,05 59.3,-67 56,r,Dor, ,     ,    , ,"F, S, R, gbM"
 2172, OC,05 59.9,-68 38,r,Dor, ,     ,    , ,"F, cL, R, lbM"
 2129, OC,06 01.0,+23 18,s,Gem, ,  7.0, 6.7, ,"Cl, pL, 40 or 50 st 8...15"
 2177, OC,06 01.0,-67 43,r,Dor, ,     ,    , ,"F, vS, iR, lbM, r"
 2176, OC,06 01.4,-66 51,r,Dor, ,     ,    , ,"eeF, pL, R, gbM"
 2181, OC,06 02.6,-65 15,r,Dor, ,     ,    , ,"vF, S, R"
 2126, OC,06 03.0,+49 54,s,Aur, ,  6.0,10.0,p,"Cl, not Ri, *7 n"
 2141, OC,06 03.1,+10 26,s,Ori, , 10.0, 9.4, ,"F, pS, dif"
 2203, OC,06 04.7,-75 26,r,Men, ,     ,    , ,F Cl
I2156, OC,06 04.8,+24 09,x,Gem, ,     ,    , ,"Cl, nebs?"
I2157, OC,06 05.0,+24 00,s,Gem, ,  7.0, 8.4, ,"Cl, S"
 2197, OC,06 05.9,-67 05,r,Dor, ,     ,    , ,"vF, pS, R, gbM"
 2158, OC,06 07.5,+24 06,s,Gem, ,  5.0, 8.6, ,"Cl, pS, mC, vRi, irr triangle st eS"
 2169, OC,06 08.4,+13 57,s,Ori, ,  7.0, 5.9, ,"Cl, S, lRi, pmC, **  (ADS 4728)"
 2168, OC,06 08.9,+24 20,s,Gem, , 28.0, 5.1, ,"Cl, vL, cRi, pC, st 9...16; = M35"
 2175, OC,06 09.8,+20 19,s,Ori, , 18.0, 6.8, ,*8 in neb
 2184, OC,06 10.9,-03 31,F,Ori, ,     ,    , ,"Cl, L, vlC"
 2186, OC,06 12.2,+05 27,s,Ori, ,  4.0, 8.7, ,"Cl, pL, pRi, pC, st L and S"
 2214, OC,06 12.8,-68 16,r,Dor, ,     ,11.0,p,"B, pS, lE, gbM, rrr"
 2194, OC,06 13.8,+12 48,s,Ori, , 10.0, 8.5, ,"Cl, L, Ri, gvmCM"
 2192, OC,06 15.2,+39 51,s,Aur, ,  6.0,11.0,p,"Cl, cL, C, iF, st vS"
 2204, OC,06 15.7,-18 39,s,CMa, , 13.0, 8.6, ,"Cl, L, pRi, lC"
 2215, OC,06 21.0,-07 17,s,Mon, , 11.0, 8.4, ,"Cl, cL, pRi, pC, st 11...15"
 2241, OC,06 22.7,-68 57,r,Dor, ,     ,    , ,"vF, pL, R, glbM"
 2225, OC,06 26.6,-09 39,F,Mon, ,     ,    , ,"Cl, P, lCM, st 12...15"
 2232, OC,06 26.6,-04 45,s,Mon, , 30.0, 3.9, ,B* (10 Mon) + Cl
 2236, OC,06 29.7,+06 50,s,Mon, ,  7.0, 8.5, ,"Cl, pRi, pC, st 10, 12...15"
