Name,Type,RAB2000,DEB2000,Source,Const,l_size,size,mag,n_mag,Desc
  103, OC,00 25.3,+61 21,s,Cas, ,  5.0, 9.8, ,"Cl, pS, pC, st 11...18"
  110, OC,00 27.4,+71 23,r,Cas, ,     ,    , ,"Cl, pR, lC, st 9...12"
  129, OC,00 29.9,+60 14,s,Cas, , 21.0, 6.5, ,"Cl, vL, pR, lC, st 9...13"
  133, OC,00 31.2,+63 22,s,Cas, ,  7.0, 9.0,p,"Cl, pL, st 10..., D* inv"
I  24, OC,00 31.2,+30 51,x,And, ,     ,    , ,"S, Cl, 30""-40', nebs?"
  136, OC,00 31.5,+61 32,s,Cas, ,  1.0,    , ,"glob. cl. , vF, S, eC"
  146, OC,00 33.1,+63 18,s,Cas, ,  7.0, 9.1, ,"Cl, pL, lC, st 11-12, D*"
  176, OC,00 35.8,-73 11,r,Tuc, ,     ,12.0,p,"eF, S, vlE, r, *8 nr"
  189, OC,00 39.6,+61 04,s,Cas, ,  4.0, 8.8, ,"Cl, pL, R, st 11...15"
  220, OC,00 40.5,-73 24,r,Tuc, ,     ,11.0,p,"F, iR, vgbM, 1st of several"
  222, OC,00 40.6,-73 24,r,Tuc, ,     ,11.0,p,"vF, R, 2nd of several"
  231, OC,00 41.0,-73 22,r,Tuc, ,     ,12.0,p,i train of st and neb
  225, OC,00 43.4,+61 47,s,Cas, , 12.0, 7.0, ,"Cl, L, lC, st 9...10"
  242, OC,00 43.6,-73 27,r,Tuc, ,     ,12.0,p,"vF, S, biN"
  188, OC,00 44.0,+85 20,s,Cep, , 14.0, 8.1, ,"Cl, vL, R, 150-200 st 10...18"
  290, OC,00 51.3,-73 09,r,Tuc, ,     ,12.0,p,eF
  272, OC,00 51.4,+35 50,r,And, ,     ,    , ,"Cl, L, lC"
I1590, OC,00 53.1,+56 35,x,Cas, ,     ,    , ,"Cl, vL, st sc; 281 f"
  330, OC,00 56.2,-72 29,s,Tuc, ,  2.0, 9.6, ,"glob. cl. , vB, S, lE, st 13...15"
  371, OC,01 03.3,-72 05,s,Tuc, ,  8.0,    , ,"Cl, F, L, R, pC, st 14...16"
  366, OC,01 06.4,+62 14,s,Cas, ,  3.0,    , ,"Cl, S"
  381, OC,01 08.3,+61 35,s,Cas, ,  6.0, 9.0,p,"Cl, pC"
I1655, OC,01 11.9,-71 20,x,Tuc, ,     ,    , ,"Cl, C, eF, vS"
I1662, OC,01 12.6,-73 27,x,Tuc, ,     ,    , ,"vF, eS; vS Cl?"
  433, OC,01 15.3,+60 08,s,Cas, ,  3.0,    , ,"Cl, S, lC"
  465, OC,01 15.5,-73 20,D,Tuc, ,     ,    , ,"many st, no neb, perhaps Cl"
  436, OC,01 15.6,+58 49,s,Cas, ,  6.0, 8.8, ,"Cl, S, iF, pC"
  457, OC,01 19.1,+58 20,s,Cas, , 13.0, 6.4, ,"Cl, B, L, pRi, st 7, 8, 10"
  559, OC,01 29.5,+63 18,s,Cas, ,  4.0, 9.5, ,"Cl, B, pL, pRi"
  581, OC,01 33.2,+60 42,s,Cas, ,  6.0, 7.4, ,"Cl, pL, B, R, Ri, st 10...11; = M103"
  609, OC,01 37.2,+64 33,s,Cas, ,  3.0,11.0, ,"Cl, S, pRi, st 14..."
  637, OC,01 42.9,+64 00,s,Cas, ,  4.0, 8.2, ,"Cl, pS, B & vF st"
  657, OC,01 43.7,+55 53,r,Cas, ,     ,    , ,"Cl, pRi, st 12"
  654, OC,01 44.1,+61 53,s,Cas, ,  5.0, 6.5, ,"Cl, iF, Ri, one *6-7, st 11...14"
  659, OC,01 44.2,+60 42,s,Cas, ,  5.0, 7.9, ,"Cl, lRi, st B"
  663, OC,01 46.0,+61 15,s,Cas, , 16.0, 7.1, ,"Cl, B, L, eRi, st pL"
I 166, OC,01 52.5,+61 50,s,Cas, ,  5.0,11.7, ,"S Cl, nebulous?"
  752, OC,01 57.8,+37 41,s,And, , 50.0, 5.7, ,"Cl, vvL, Ri, st L & sc"
  744, OC,01 58.4,+55 29,s,Per, , 11.0, 7.9, ,"Cl, pL, pRi, iF, st 11...13"
  743, OC,01 58.7,+60 11,s,Cas, ,  5.0,    , ,"Cl, not Ri, D* (h 1098)"
  869, OC,02 19.0,+57 09,s,Per, , 30.0, 4.0,p,"! Cl, vvL, vRi, st 7...14"
  884, OC,02 22.4,+57 07,s,Per, , 30.0, 4.0,p,"! Cl, vL, vRi, ruby * M"
I1800, OC,02 28.6,+31 24,x,Tri, ,     ,    , ,"eF, S; eS Cl?"
  956, OC,02 32.4,+44 39,s,And, ,  8.0, 9.0,p,"Cl, pRi, st 9...15"
  957, OC,02 33.6,+57 32,s,Per, , 11.0, 7.6, ,"Cl, pL, pRi, st 13...15"
I1824, OC,02 41.3,+61 37,x,Cas, ,     ,    , ,"Cl, st F, perhaps F neby p extends to it"
 1039, OC,02 42.0,+42 47,s,Per, , 35.0, 5.2, ,"Cl, B, vL, lC, sc st 9; = M34"
 1027, OC,02 42.7,+61 33,s,Cas, , 20.0, 6.7, ,"Cl, L, sc st, one 10m"
I1872, OC,03 04.6,+42 49,x,Per, ,     ,    , ,Cl
 1193, OC,03 05.8,+44 23,s,Per, ,  2.0,13.0,p,"F, cL, er"
I 288, OC,03 07.5,+42 22,x,Per, ,     ,    , ,"vF, vS, R, 2 st nf; S Cl?"
 1220, OC,03 11.7,+53 20,s,Per, ,  2.0,12.0,p,"Cl, vS, st vF"
 1245, OC,03 14.7,+47 15,s,Per, , 10.0, 8.4, ,"Cl, pL, Ri, C, iR, st 12...15"
 1342, OC,03 31.6,+37 20,s,Per, , 14.0, 6.7, ,"Cl, vL, ab 60 st"
 1348, OC,03 33.8,+51 26,r,Per, ,     ,    , ,"Cl, lRi, st L"
 1444, OC,03 49.4,+52 40,s,Per, ,  4.0, 6.6, ,Cl of ab 30 st 12...14
 1520, OC,03 57.5,-76 50,A,Men, ,     ,    , ,"Cl, pL, lRi, st 9-10"
 1496, OC,04 04.4,+52 37,s,Per, ,  6.0,10.0,p,"Cl, segment of a ring"
 1502, OC,04 07.7,+62 20,s,Cam, ,  8.0, 5.7, ,"Cl, pRi, cC, iF"
 1513, OC,04 10.0,+49 31,s,Per, ,  9.0, 8.4, ,"Cl, L, vRi, pC, st vL"
 1528, OC,04 15.4,+51 14,s,Per, , 24.0, 6.4, ,"Cl, B, vRi, cC"
I 361, OC,04 19.0,+58 18,s,Cam, ,  6.0,11.7, ,"F, L (neb Cl?)"
